ORDER_ID,FLAG_ROUND_TRIP,COST
737,1,78.76
740,1,17.59
742,1,58.88
744,1,200.37
747,0,120.96
750,1,55.17
751,1,260.84
756,1,141.54
757,1,43.58
759,1,2.68
760,1,23.59
762,1,80.56
763,1,274.91
764,1,98.77
771,1,158.76
772,1,18.45
774,0,317.97
777,1,94.02
778,1,48.14
780,1,203.49
782,0,92.64
784,1,70.76
788,1,85.40
789,1,66.18
791,1,92.41
792,0,128.95
793,1,162.55
794,1,86.89
799,1,24.47
800,1,33.15
801,1,111.84
804,1,107.30
805,0,22.11
807,0,144.63
808,1,51.98
811,1,47.41
812,1,68.74
816,1,47.49
817,1,143.98
818,1,74.03
822,1,200.72
824,1,120.97
827,1,215.09
829,1,35.45
831,0,325.81
832,1,114.15
833,1,87.79
835,1,148.11
837,1,198.28
838,1,16.51
841,1,300.90
843,1,256.97
845,1,2.43
852,1,13.31
853,1,65.59
855,0,148.15
856,0,219.04
860,1,110.88
862,1,139.55
867,0,92.82
868,1,83.94
869,1,316.39
870,1,306.88
871,1,30.20
872,1,172.63
875,1,70.09
879,1,57.73
881,1,126.57
882,1,101.83
883,1,65.83
884,1,98.04
886,1,92.91
888,1,83.24
892,1,31.01
894,1,146.96
895,1,47.18
896,1,26.13
897,1,239.15
898,1,180.40
901,1,96.35
902,1,22.12
903,1,79.73
904,1,58.02
906,0,262.35
908,1,153.29
911,1,50.02
913,0,298.60
914,1,120.35
915,1,95.98
916,1,120.01
919,1,57.07
920,1,115.75
922,1,284.62
923,1,70.68
924,0,125.88
925,0,295.96
927,1,188.91
928,1,114.94
929,1,203.85
931,1,4.36
932,1,50.38
933,0,99.91
935,1,246.48
936,1,126.18
937,1,22.85
938,1,175.37
941,1,121.83
943,1,81.57
944,1,252.81
945,1,33.21
946,1,49.11
947,1,120.02
949,1,74.61
950,1,240.96
951,1,97.76
952,1,80.72
956,1,1.54
957,1,259.62
958,1,335.07
960,1,18.00
961,1,41.68
963,1,22.49
964,0,47.11
965,1,101.71
967,1,43.34
971,0,199.27
974,0,267.04
975,1,55.11
976,1,60.39
977,0,212.05
980,1,43.32
983,1,139.40
986,1,131.90
995,1,209.57
996,1,120.42
997,1,148.59
999,0,210.35
1000,1,58.97
